City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Yellowknife,CA,62.456,-114.3525,12.56,61,77,11.01,broken clouds
79,Plettenberg Bay,ZA,-34.0527,23.3716,69.21,77,43,7.94,scattered clouds
80,Tuburan,PH,6.6439,122.2736,80.13,78,94,10.04,overcast clouds
81,Batagay-Alyta,RU,67.8006,130.4114,-9.89,90,89,5.88,overcast clouds
82,Yarmouth,US,41.7057,-70.2286,60.62,48,0,10.36,clear sky
83,Mar Del Plata,AR,-38.0023,-57.5575,64.87,88,100,11.99,moderate rain
84,Port Augusta,AU,-32.5,137.7667,66.92,53,6,7.02,clear sky
85,Muros,ES,42.7762,-9.0603,57.83,76,94,13.62,overcast clouds
86,Laguna,US,38.421,-121.4238,58.28,92,100,16.11,mist
87,Norman Wells,CA,65.282,-126.8329,8.64,66,75,14.97,broken clouds
88,Colonial Heights,US,37.268,-77.4073,74.8,37,0,3.0,clear sky
89,Vaini,TO,-21.2,-175.2,80.55,78,99,13.33,overcast clouds
90,Havre-Saint-Pierre,CA,50.2334,-63.5986,42.04,65,49,12.8,scattered clouds
91,Agadez,NE,19.75,10.25,92.1,5,1,11.88,clear sky
92,Padilla,CO,3.2204,-76.3139,84.88,63,100,2.77,overcast clouds
93,Hilo,US,19.7297,-155.09,83.28,91,77,1.01,broken clouds
94,Lagoa,PT,39.05,-27.9833,59.34,93,97,22.77,overcast clouds
95,Thompson,CA,55.7435,-97.8558,28.56,69,100,4.61,overcast clouds
96,Butaritari,KI,3.0707,172.7902,80.02,78,95,7.52,light rain
97,Lazi,UA,48.0667,24.2333,30.6,93,95,3.22,overcast clouds
98,Vila Velha,BR,-20.3297,-40.2925,81.95,76,28,1.99,scattered clouds
99,Hobyo,SO,5.3505,48.5268,83.35,72,9,12.44,clear sky
100,Mahebourg,MU,-20.4081,57.7,76.24,75,41,19.53,scattered clouds
101,Severo-Yeniseyskiy,RU,60.3725,93.0408,11.26,98,97,2.19,overcast clouds
102,Kloulklubed,PW,7.0419,134.2556,82.81,84,100,24.56,overcast clouds
103,Caruray,PH,10.3094,119.0128,78.06,86,100,6.31,overcast clouds
104,Tuktoyaktuk,CA,69.4541,-133.0374,-6.02,97,97,5.64,overcast clouds
105,Belaya Gora,RU,68.5333,146.4167,-15.66,100,86,4.03,overcast clouds
106,Puerto Lopez,CO,4.0845,-72.956,87.49,63,99,2.15,overcast clouds
107,Broken Hill,AU,-31.95,141.4333,62.31,63,0,5.75,clear sky
108,Danville,US,36.586,-79.395,78.44,33,35,4.0,scattered clouds
109,Pitimbu,BR,-7.4706,-34.8086,82.96,63,83,9.01,broken clouds
110,Coihaique,CL,-45.5752,-72.0662,47.28,89,97,7.38,light rain
111,Lebedinyy,RU,58.5167,125.5167,7.25,99,100,2.15,overcast clouds
112,Portland,US,45.5234,-122.6762,40.57,94,100,6.91,moderate rain
113,Larsnes,NO,62.2028,5.5773,40.01,67,100,2.48,overcast clouds
114,Pilar,BR,-9.5972,-35.9567,84.13,61,93,5.73,overcast clouds
115,Port Alfred,ZA,-33.5906,26.891,65.17,90,100,4.0,overcast clouds
116,Mayo,US,38.8876,-76.5119,66.67,49,0,18.99,clear sky
117,San Felipe,VE,10.3399,-68.7425,86.13,56,90,7.76,overcast clouds
118,Kruisfontein,ZA,-34.0033,24.7314,70.88,80,24,8.43,few clouds
119,Narsaq,GL,60.9167,-46.05,41.22,42,74,16.15,broken clouds
120,Victoria,HK,22.2855,114.1577,76.32,82,1,8.01,clear sky
121,San-Pedro,CI,4.7485,-6.6363,83.23,78,62,9.28,broken clouds
122,Nhulunbuy,AU,-12.2333,136.7667,81.21,89,40,8.05,scattered clouds
123,Sorland,NO,67.667,12.6934,40.86,79,26,10.54,scattered clouds
124,Atar,MR,20.5169,-13.0499,95.65,6,61,13.33,broken clouds
125,Faya,SA,18.3851,42.4509,65.57,46,2,3.69,clear sky
126,Sinnamary,GF,5.3833,-52.95,80.04,84,93,12.44,overcast clouds
127,Mega,ET,4.05,38.3,62.01,81,79,6.4,broken clouds
128,Yinchuan,CN,38.4681,106.2731,48.22,23,86,4.72,overcast clouds
129,Tiksi,RU,71.6872,128.8694,-9.02,99,70,8.48,broken clouds
130,Lavrentiya,RU,65.5833,-171.0,19.42,100,99,5.06,overcast clouds
131,Olinda,BR,-8.0089,-34.8553,83.59,59,84,7.9,broken clouds
132,Sai Buri,TH,6.7013,101.6168,77.32,85,47,4.09,scattered clouds
